"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"SOCIETE NOUVELLE DE BACKER","https://www.qualibat.com/resultat-de-la-recherche/societe-nouvelle-de-backer-59633","ZAL DE MUSSENT, 62129 ECQUES","0321958787","snpdeb@sarldebacker.fr","4009677820","40096778200022","19",1150000,62,"62"
"FL ARC EN CIEL","https://www.qualibat.com/resultat-de-la-recherche/fl-arc-en-ciel-93820","727 RUE LA FONTAINE, 62110 HENIN BEAUMONT","0663800027","floribert.wartel@sfr.fr","5388587050","53885870500014","8",850000,62,"62"
"HENNEBELLE ET FILS SARL","https://www.qualibat.com/resultat-de-la-recherche/hennebelle-et-fils-sarl-60283","4 RUE DES AMALETS, 62138 DOUVRIN","0320291993","hennebelle.et.fils@wanadoo.fr","4217208630","42172086300024","17",1100000,62,"62"
"RAPID'CHAPE","https://www.qualibat.com/resultat-de-la-recherche/rapid-chape-171557","176 RUE PIERRE CLOSTERMANN, 62100 CALAIS","0321966285","contact@rapidchape.fr","8095282680","80952826800018","4",536245,62,"62"
"Not found","https://www.qualibat.com/resultat-de-la-recherche/prl-sarl-60815","Not found","Not found","Not found","Not found","Not found","Not found","Not found",62,"62"
"VERET (ENTREPRISE)","https://www.qualibat.com/resultat-de-la-recherche/veret-entreprise--59442","14 RUE JEHAN BODEL ZA DES LONGS CHAMPS BP 50005, 62217 BEAURAINS","0321607000","entreprise@veret.org","5719206440","57192064400028","18",1680000,62,"62"
"DILLY JEAN-PAUL","https://www.qualibat.com/resultat-de-la-recherche/dilly-jean-paul-71017","210 AVENUE FRANCOIS MITTERAND, 62114 SAINS EN GOHELLE","0321291362","dilly.jeanpaul@wanadoo.fr","4015199620","40151996200013","4",218971,62,"62"
"LAINE ET ROGER SARL","https://www.qualibat.com/resultat-de-la-recherche/laine-et-roger-sarl-59482","42 RUE DU CENTRE , 62127 MAIZIERES","0321473155","laine-roger@wanadoo.fr","3235050160","32350501600010","35",3240000,62,"62"
"CABRE","https://www.qualibat.com/resultat-de-la-recherche/cabre-59484","ZA DU CHEMY RUE RAOUL BRIQUET, 62710 COURRIERES","0321138181","cabre@cabre.fr","3562002380","35620023800075","125",24810000,62,"62"
"EGP  SAUDEMONT","https://www.qualibat.com/resultat-de-la-recherche/egp-saudemont-59493","RUE F. HENNEBIQUE -  Z.I. EST BP 10137, 62054 SAINT-LAURENT-BLANGY CEDEX","0321599888","contact@saudemont.com","4195763840","41957638400012","30",3150000,62,"62"
"LA SOCIETE DES PEINTURES DU NORD","https://www.qualibat.com/resultat-de-la-recherche/la-societe-des-peintures-du-nord-60869","4 RUE DES GRIVES PA LES OISEAUX BAT 8, 62300 LENS","0321494643","contact@lespeinturesdunord.com","4293641930","42936419300046","21",256200,62,"62"
"NORD REVETEMENTS  SAS","https://www.qualibat.com/resultat-de-la-recherche/nord-revetements-sas-59565","4 ROUTE DE QUEHEN - ISQUES, 62360 ISQUES","0321314958","nord-revetements@wanadoo.fr","3302667920","33026679200028","24",2049999.9999999998,62,"62"
"DARDENNE PEINTURES SAS","https://www.qualibat.com/resultat-de-la-recherche/dardenne-peintures-sas-59616","59 A RUE ARTHUR LAMENDIN - BP 41, 62710 COURRIERES","0321763093","sas.dardenne@wanadoo.fr","3808865640","38088656400026","17",991146,62,"62"
"CAUDRON","https://www.qualibat.com/resultat-de-la-recherche/caudron-171628","4A ROUTE DE BLENDECQUES, 62219 LONGUENESSE","0321115287","caudron-franck@rssm.fr","7920431350","79204313500021","10",1130000,62,"62"
"ATELIER PROTEGE AU SERVICE D'ENTREPRISE","https://www.qualibat.com/resultat-de-la-recherche/atelier-protege-au-service-d-entreprise-171224","69 RUE ELIE CARTAN ZI DU CHATEAU, 62220 CARVIN","0601456299","mathias.pouille@apase5962.fr","3889830090","38898300900035","132",3450000,62,"62"
"Not found","https://www.qualibat.com/resultat-de-la-recherche/prestation-sol-service-174355","Not found","Not found","Not found","Not found","Not found","Not found","Not found",62,"62"
"LERMYTTE  SARL","https://www.qualibat.com/resultat-de-la-recherche/lermytte-sarl-60773","43 RN RUE DES PRES.Z.A. BP 130, 62120 MAZINGHEM","0321665050","sarl.lermytte@orange.fr","3851457920","38514579200011","16",1880000,62,"62"
"DECAUX ROGER  SA","https://www.qualibat.com/resultat-de-la-recherche/decaux-roger-sa-59546","Z.I. AVENUE  FLEMING - BP 561, 62411 BETHUNE CEDEX","0321681418","rogerdecaux@orange.fr","3206729670","32067296700025","30",3110000,62,"62"
"AR BAT","https://www.qualibat.com/resultat-de-la-recherche/ar-bat-173947","12 ROUTE DE WIRWIGNES, 62240 CREMAREST","","eq.arbat@orange.fr","7538097220","75380972200014","7",1040000,62,"62"
"ARC EN CIEL PEINTURE","https://www.qualibat.com/resultat-de-la-recherche/arc-en-ciel-peinture-128246","23 RUE DU MARAIS, 62380 NIELLES LES BLEQUIN","0321957896","contact-arcenciel-peinture@orange.fr","7899985640","78999856400031","8",343340,62,"62"
"ARDECO  SAS","https://www.qualibat.com/resultat-de-la-recherche/ardeco-sas-59510","Z.I. - RUE COPERNIC, 62970 COURCELLES LES LENS","0321778010","contact-ardeco@ardeco-sas.com","3712001970","37120019700031","29",2060000,62,"62"
"Not found","https://www.qualibat.com/resultat-de-la-recherche/creadecor-84322","Not found","Not found","Not found","Not found","Not found","Not found","Not found",62,"62"
"MILLE PEINTURE SARL","https://www.qualibat.com/resultat-de-la-recherche/mille-peinture-sarl-60805","4 RUE DU MARECHAL LEFEBVRE, 62126 WIMILLE","0321833922","millepeintures@orange.fr","4026376560","40263765600024","14",1340000,62,"62"
