"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"GALLE (ENTREPRISE)","https://www.qualibat.com/resultat-de-la-recherche/galle-entreprise--65162","ZA DES ESTUAIRES, 35133 ROMAGNE","0299994296","galle-entreprise@wanadoo.fr","7292006670","72920066700032","23",2580000,35,"54"
"SARL HERVE","https://www.qualibat.com/resultat-de-la-recherche/sarl-herve-65145","9 BD DENIS PAPIN, 35500 VITRE","0299750085","sarlherve.frederic@orange.fr","3405354000","34053540000022","18",1770000,35,"54"
"RABACHE  JAGOT DUBOIS","https://www.qualibat.com/resultat-de-la-recherche/rabache-jagot-dubois-65924","18 AVENUE DU GENERAL FERRIE ZI SUD, 35400 ST MALO","0299560076","contact@jagot-dubois.com","4877551260","48775512600058","8",955207,35,"54"
"3C ENERGIES","https://www.qualibat.com/resultat-de-la-recherche/3c-energies-80652","RUE JEAN HOLLIER PARC D'ACTIVITE LA TEILLAIS, 35740 PACE","0299855252","contact@chemineesfontaine.com","5079660590","50796605900010","6",858740,35,"54"
"TOURNEUX SARL","https://www.qualibat.com/resultat-de-la-recherche/tourneux-sarl-65623","LES BOUFFORTS 10 ALLÉE JOSEPH CUGNOT , 35500 VITRE","0299750428","secretariat2@tourneuxsarl.fr","4197218240","41972182400029","39",3960000,35,"54"
"MAHEY","https://www.qualibat.com/resultat-de-la-recherche/mahey-65191","5 IMPASSE DU GRAND JARDIN, 35400 SAINT MALO","0299190303","secretariat@mahey-stmalo.fr","8957800700","89578007000028","55",9820000,35,"54"
"SARL LEBRETON FOUGERAY","https://www.qualibat.com/resultat-de-la-recherche/sarl-lebreton-fougeray-90294","ZONE DU PARC, 35133 LECOUSSE","0299941144","lebreton.fougeray@wanadoo.fr","4322746520","43227465200010","3",552612,35,"54"
"BROCHARD HERVE","https://www.qualibat.com/resultat-de-la-recherche/brochard-herve-65920","42 RUE DE LA VILLE ES COURS, 35400 ST MALO","0299167903","brochardcouverture@gmail.com","4839198170","48391981700013","12",1640000,35,"54"
"ATOUT ENERGIE","https://www.qualibat.com/resultat-de-la-recherche/atout-energie-158785","L ECOLE, 35140 LA CHAPELLE ST AUBERT","0686725649","hpamiseux@conduitinox.com","5046173330","50461733300019","10",1120000,35,"54"
"GARNIER SARL","https://www.qualibat.com/resultat-de-la-recherche/garnier-sarl-93297","LAUVIAIS, 35270 MEILLAC","0299731458","cheminees.garnier@orange.fr","3491593430","34915934300012","2",172744,35,"54"
"HODEBOURG COUVERTURE","https://www.qualibat.com/resultat-de-la-recherche/hodebourg-couverture-152655","LA GAUTRAIS, 35270 TREMEHEUC","0299732906","stephane.hodebourg@orange.fr","4946538010","49465380100022","4",334527,35,"54"
"ENER 24","https://www.qualibat.com/resultat-de-la-recherche/ener-24-186394","2 RUE DE LA MABILAIS, 35000 RENNES","0299133800","marlene.andria@ener24.com","5101568130","51015681300030","25",3210000,35,"54"
