"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"CTAO - CENTRE DE TRAVAUX ANGERS OUEST","https://www.qualibat.com/resultat-de-la-recherche/ctao---centre-de-travaux-angers-ouest-15074","LA JALLETIERE, 49380 NOTRE DAME D'ALLENCON","0241544097","contact@ctao.fr","4408916460","44089164600026","82",7690000,49,"53"
"FC ENERGIES","https://www.qualibat.com/resultat-de-la-recherche/fc-energies-190224","ZA DE L'ALOUETTE, 49370 ST CLEMENT DE LA PLACE","0241325892","aureliaenergies@orange.fr","8925133910","89251339100011","10",753671,49,"53"
"CEGELEC LOIRE OCEAN","https://www.qualibat.com/resultat-de-la-recherche/cegelec-loire-ocean-169117","6 BD DES BRETONNIERES, 49124 ST BARTHELEMY D'ANJOU","0241864428","entreprise-logement@cegelec.com","5379161650","53791616500104","40",4420000,49,"53"
"LNSR","https://www.qualibat.com/resultat-de-la-recherche/lnsr-109427","5 RUE PIERRE ET MARIE CURIE ZONE ARTISANALE DYNA-OUEST BEAUPREAU, 49600 BEAUPREAU EN MAUGES","0670398517","lnsr49@orange.fr","7993212450","79932124500026","7",562826,49,"53"
"DEPC","https://www.qualibat.com/resultat-de-la-recherche/depc-80858"," 1 ALLEE DE LA SAULAIE, 49800 TRELAZE","0241273124","ambre.tixier@depc.fr","4436228810","44362288100037","43",6120000,49,"53"
"DURAND HERVE (ETS)","https://www.qualibat.com/resultat-de-la-recherche/durand-herve-ets--103491","ZI LE TAILLIS BP 80211, 49270 CHAMPTOCEAUX","0240835665","compta@hervedurand.com","4482439800","44824398000019","45",6080000,49,"53"
"GABORIAU (ETS)","https://www.qualibat.com/resultat-de-la-recherche/gaboriau-ets--72151","ZONE ARTISANALE 11 RUE DE L'ARCEAU, 49300 LE PUY ST BONNET","0241564171","info@ets-gaboriau.com","3181120910","31811209100034","16",1840000,49,"53"
"BIOTTEAU (ETS)","https://www.qualibat.com/resultat-de-la-recherche/biotteau-ets--13820","89 RUE NATIONALE TORFOU, 49660 TORFOU","0241703688","ent.biotteau@wanadoo.fr","0632006790","06320067900023","18",2350000,49,"53"
"DELALANDE-RETHORE (SOCIETE)","https://www.qualibat.com/resultat-de-la-recherche/delalande-rethore-societe--14263","LES BRIGAUDERIES BP 51, 49160 LONGUE","0241521221","sarl.delalande@wanadoo.fr","4540383730","45403837300022","15",1660000,49,"53"
"MARTIN SARL","https://www.qualibat.com/resultat-de-la-recherche/martin-sarl-14007","ZA DYNA OUEST 8 RUE NICOLAS APPERT, 49600 BEAUPREAU","0241633076","gaelle.martinsarl@orange.fr","3253810850","32538108500019","9",991487,49,"53"
"BLV","https://www.qualibat.com/resultat-de-la-recherche/blv-79683","24 RUE JEAN MONNET ZI DE L'ETRICHE, 49500 SEGRE","0241923643","contact@blvsarl.fr","4837369480","48373694800017","14",1450000,49,"53"
"BARON GERALD SARL","https://www.qualibat.com/resultat-de-la-recherche/baron-gerald-sarl-156729","12 RUE DES VERDIERS SAINT MACAIRE EN MAUGES, 49450 SEVREMOINE","0633939973","sarlgbaron@gmail.com","8147816210","81478162100010","5",694000,49,"53"
"SOREAU - REMARS SARL","https://www.qualibat.com/resultat-de-la-recherche/soreau---remars-sarl-138573","1 GRANDE RUE SAINT MARTIN D'ARCE, 49150 BAUGE EN ANJOU","0241897648","daniel.soreau@wanadoo.fr","4031728510","40317285100012","9",752325,49,"53"
"DROUET JEAN YVES","https://www.qualibat.com/resultat-de-la-recherche/drouet-jean-yves-100511","17 RUE DE LA CHOISIERE ST REMY EN MAUGES, 49110 MONTREVAULT SUR EVRE","0241304133","jean-yves.drouet2@wanadoo.fr","5018421160","50184211600011","1",117433,49,"53"
"SOCIETE NOUVELLE BAUDOUIN","https://www.qualibat.com/resultat-de-la-recherche/societe-nouvelle-baudouin-156925","ZA DU PETIT GUE ANGRIE, 49440 CANDE","0241920224","jerome.berthet@baudouin-energies.fr","8177792180","81777921800012","35",5560000,49,"53"
"PHILIPPE RICHARD (ETABLISSEMENTS)","https://www.qualibat.com/resultat-de-la-recherche/philippe-richard-etablissements--14262","Z.A. DE LA SUZEROLLE BP 70034, 49140 SEICHES SUR LE LOIR","0241762440","ets.richard.philippe@wanadoo.fr","3379709170","33797091700031","7",1250000,49,"53"
"FRANCOIS PASQUIER","https://www.qualibat.com/resultat-de-la-recherche/francois-pasquier-188955","14 RUE DES DEUX HAIES ST MARTIN DU BOIS, 49500 SEGRE EN ANJOU BLEU","0645570079","gite.lapinede@gmail.com","5097603690","50976036900041","1",18366,49,"53"
"SEBASTIEN FREULON-ARBI NEUF ET ANCIEN","https://www.qualibat.com/resultat-de-la-recherche/sebastien-freulon-arbi-neuf-et-ancien-112542","LA CHALOUSERIE, 49120 LA TOURLANDRY","0241467937","contact@arbi-renovation.fr","5311201860","53112018600014","1",195000,49,"53"
"EIB ELECTRICITE INDUSTRIELLE ET BATIMENT","https://www.qualibat.com/resultat-de-la-recherche/eib-electricite-industrielle-et-batiment-92683","7 BD DE L'EPERVIERE ZAC DE BEUZON, 49000 ECOUFLANT","0241272767","accueil@eib-angers.com","4033074570","40330745700024","48",6490000,49,"53"
"THARREAU ENERGIES ET SERVICES","https://www.qualibat.com/resultat-de-la-recherche/tharreau-energies-et-services-86360","7 ALLEE JEAN MONNET, 49620 LA POMMERAYE","0241778585","tharreau.es@orange.fr","5142662530","51426625300012","20",1950000,49,"53"
"ANJOU VENTIL - ROYALE GAINES","https://www.qualibat.com/resultat-de-la-recherche/anjou-ventil---royale-gaines-175464","ZA DU BORDAGE LE LONGERON, 49710 SEVREMOINE","0241300602","contact@avr-gaines.fr","4375325910","43753259100025","15",3020000,49,"53"
"JEAN-MARIE LEBRUN (SOCIETE)","https://www.qualibat.com/resultat-de-la-recherche/jean-marie-lebrun-societe--100979","ZA LES GROIES ROUTE DE CONTIGNE, 49330 CHATEAUNEUF SUR SARTHE","0241698557","sarl.lebrun@gmail.com","3786771730","37867717300049","7",490583,49,"53"
"MJ HABITAT","https://www.qualibat.com/resultat-de-la-recherche/mj-habitat-182225","28 RUE DU FAUBOURG GOURDON BEAUPREAU, 49600 BEAUPREAU EN MAUGES","0676126655","marie.mj.habitat@gmail.com","8795429340","87954293400010","4",122118,49,"53"
"SIPECT","https://www.qualibat.com/resultat-de-la-recherche/sipect-13902","229 RUE DU DOCTEUR GUICHARD BP 91004, 49010 ANGERS CEDEX","0241721040","sipect.soc@spie.com","3008227230","30082272300031","35",4640000,49,"53"
"LORINQUER (SARL)","https://www.qualibat.com/resultat-de-la-recherche/lorinquer-sarl--14004","LA LIVONNIERE, 49480 VERRIERES EN ANJOU","0241439111","contact@lorinquer49.fr","3375325840","33753258400014","13",1090000,49,"53"
"HUCHON-CESBRON","https://www.qualibat.com/resultat-de-la-recherche/huchon-cesbron-93856","204 BIS RUE DE LORRAINE, 49300 CHOLET","0241656772","huchon-cesbron@orange.fr","5397376760","53973767600012","3",498804,49,"53"
"GHISLAIN GABORIEAU - AXTEM","https://www.qualibat.com/resultat-de-la-recherche/ghislain-gaborieau---axtem-169199","31 RUE DU DOCTEUR RAFFEGEAU SAINT GERMAIN SUR MOINE, 49230 SEVREMOINE","0241647623","sasghislain.gaborieau@gmail.com","8206600410","82066004100014","7",867593,49,"53"
"PINEAU (SARL)","https://www.qualibat.com/resultat-de-la-recherche/pineau-sarl--146652","14 ROUTE DE ST QUENTIN, 49120 STE CHRISTINE","0241706097","sarl.pineau.christophe@orange.fr","4225444600","42254446000013","8",626040,49,"53"
"CLAUDE CREATION RENOVATION","https://www.qualibat.com/resultat-de-la-recherche/claude-creation-renovation-174654","7 RUE DES CHATAIGNIERS CHAMPIGNE, 49330 LES HAUTS D'ANJOU","0663206186","claudecreationrenovation@gmail.com","8284473590","82844735900013","3",237148,49,"53"
"TERRA NOVA","https://www.qualibat.com/resultat-de-la-recherche/terra-nova-156029","3 ROUTE DE LA CONFLUENCE ZAC DE BEUZON, 49000 ECOUFLANT","0612176191","sbonnin@terranova-france.com","7950509390","79505093900094","30",4850000,49,"53"
"CHAM ANGERS","https://www.qualibat.com/resultat-de-la-recherche/cham-angers-109274","7 BIS QUAI FELIX FAURE, 49100 ANGERS","0241601515","cjoveneau@groupecham.fr","4447685500","44476855000147","12",882762,49,"53"
"ANTHONY DUMOULIN","https://www.qualibat.com/resultat-de-la-recherche/anthony-dumoulin-113160","4 RUE DE LA CHENEVOTIERE, 49700 FORGES","0241386106","dumoulin.anthony@orange.fr","4939842720","49398427200028","2",138535,49,"53"
"DEBERNARD ETABLISSEMENTS","https://www.qualibat.com/resultat-de-la-recherche/debernard-etablissements-13843","135 ROUTE DU BELLAY, 49650 ALLONNES","0241520049","debernard2@wanadoo.fr","6665802120","66658021200031","5",1410000,49,"53"
"QUIGNON BATI","https://www.qualibat.com/resultat-de-la-recherche/quignon-bati-94391","8 BIS RUE MABILAIS, 49310 ST HILAIRE DU BOIS","0241580520","sarl.quignonbati@orange.fr","5385407330","53854073300010","7",800000,49,"53"
"AMBIANCE CONFORT ENERGIES","https://www.qualibat.com/resultat-de-la-recherche/ambiance-confort-energies-13837","PARC D'ACTIVITE DES FONTENELLES 8 ALLEE DES GROUAS, 49320 BRISSAC QUINCE","0241912258","contact@elec-fluides.fr","3010308880","30103088800020","18",1790000,49,"53"
"CHAUFF ECO","https://www.qualibat.com/resultat-de-la-recherche/chauff-eco-67113","1 CHEMIN DE LA CHABOLAIS, 49000 ECOUFLANT","0241961750","entreprise@chauffeco-energies.fr","3248456840","32484568400061","41",7900000,49,"53"
"SOULARD BENOIT (SARL)","https://www.qualibat.com/resultat-de-la-recherche/soulard-benoit-sarl--112485","1 RUE DE SALERS, 49300 CHOLET","0241620434","sarl-soulard@wanadoo.fr","3530808070","35308080700038","9",1090000,49,"53"
"PEARSON CHRISTOPHE","https://www.qualibat.com/resultat-de-la-recherche/pearson-christophe-191443","21 PLACE DU JEU DE PAUME, 49730 VARENNES SUR LOIRE","0683754110","pearson.elec@orange.fr","8975579220","89755792200019","11",1000000,49,"53"
"GIRARD (ETS)","https://www.qualibat.com/resultat-de-la-recherche/girard-ets--143654","10 RUE DE L'ABBE CHUPIN, 49510 JALLAIS","0241706492","ets.girardplombier@orange.fr","4819054870","48190548700015","2",183582,49,"53"
"MORILLE PRUD'HOMME","https://www.qualibat.com/resultat-de-la-recherche/morille-prud-homme-124736","ZA DES SOURCES, 49120 CHEMILLE-MELAY","0674364702","sammorille@orange.fr","4919483030","49194830300020","7",744667,49,"53"
"TCS","https://www.qualibat.com/resultat-de-la-recherche/tcs-83127","10 RUE CHARLES MESSIER ZI DU CORMIER, 49300 CHOLET","0241650316","contact@tcs-sas.fr","3398348630","33983486300039","26",3870000,49,"53"
"BIGEARD ENERGIES","https://www.qualibat.com/resultat-de-la-recherche/bigeard-energies-116827","235 RUE JEAN DORAT LIRE, 49530 OREE-D'ANJOU","0240981739","ab-energies@orange.fr","7899931690","78999316900018","1",185779,49,"53"
"DIXNEUF (EURL)","https://www.qualibat.com/resultat-de-la-recherche/dixneuf-eurl--14244","12 RUE EDOUARD BRANLY ZI DE LA BERGERIE, 49280 LA SEGUINIERE","0241568860","contact@dixneuf-eurl.com","4213076120","42130761200026","17",1930000,49,"53"
"SEBASTIEN MENARD ELECTRICITE","https://www.qualibat.com/resultat-de-la-recherche/sebastien-menard-electricite-123802","5 RUE DES GENETS, 49570 MONTJEAN SUR LOIRE","0680598023","smenard.elec@gmail.com","8036420810","80364208100019","3",417516,49,"53"
"FLUID-SYSTEM","https://www.qualibat.com/resultat-de-la-recherche/fluid-system-93311","32, QUAI DE L'AUTHION, 49130 LES PONTS DE CE","0241478114","contact@fluid-system-france.fr","5388135440","53881354400029","12",1690000,49,"53"
"ROY ENERGIES","https://www.qualibat.com/resultat-de-la-recherche/roy-energies-175367","ZONE LE BORDAGE LE LONGERON, 49710 LE LONGERON","0241466896","royenergies@gmail.com","8395403410","83954034100014","6",514296,49,"53"
"BOUSSEAU HERVE","https://www.qualibat.com/resultat-de-la-recherche/bousseau-herve-116100","28 RUE DE CHENEVEAU, 49340 VEZINS","0241644377","herve.bousseau49@orange.fr","7997671810","79976718100016","4",327340,49,"53"
