"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"SANTUNIONE SARL","https://www.qualibat.com/resultat-de-la-recherche/santunione-sarl-72029","CAMPO DI FIORI ROUTE DE MEZZAVIA BP 521, 20189 AJACCIO CEDEX 2","0495221494","secretariat@santunione.com","3493943530","34939435300024","42",4600000,20,"43"
"VERDIER ET CIE SARL","https://www.qualibat.com/resultat-de-la-recherche/verdier-et-cie-sarl-71882","ZONE INDUSTRIELLE DE PASTORECCIA, 20600 BASTIA","0495335029","menuiserie.verdier@orange.fr","4959200270","49592002700028","12",1130000,20,"43"
"BERNARDINI ANTOINE","https://www.qualibat.com/resultat-de-la-recherche/bernardini-antoine-71967","ABBAZIA, 20243 PRUNELLI DI FIUM'ORBU","0495562604","antoine.bernardini104@orange.fr","3186339220","31863392200014","3",235658,20,"43"
"URBA 20","https://www.qualibat.com/resultat-de-la-recherche/urba-20-83667","LIEU DIT STOLLO BP 153, 20240 GHISONACCIA","0495573411","urba.20@orange.fr","3787845320","37878453200046","12",1850000,20,"43"
"ROSSI FRERES PEINTURES SARL","https://www.qualibat.com/resultat-de-la-recherche/rossi-freres-peintures-sarl-71966","RUE DU MARECHAL JUIN RESIDENCE ALTEA, 20600 BASTIA","0495330633","rossifrerespeintures@wanadoo.fr","4395755230","43957552300022","33",7140000,20,"43"
"STOYANOVITCH MENUISERIES SARL","https://www.qualibat.com/resultat-de-la-recherche/stoyanovitch-menuiseries-sarl-71923","LIEU DIT ALZITONE, 20240 GHISONACCIA","0495462439","contact@menuiseriestoyanovitch.fr","4407835610","44078356100010","16",2230000,20,"43"
"SOMEB SARL","https://www.qualibat.com/resultat-de-la-recherche/someb-sarl-71876","LIEU DI CERTALI BOULEVARD PIERRE PASQUINI, 20220 L'ILE ROUSSE","0495602930","someb20@orange.fr","3427215370","34272153700013","4",493408,20,"43"
"MENUISERIE BALAGNE","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-balagne-132303","LIEU DIT BONGIOCO, 20220 MONTICELLO","0676628507","ban.l@wanadoo.fr","4923213850","49232138500014","3",755000,20,"43"
"PIERI MENUISERIE EBENISTERIE","https://www.qualibat.com/resultat-de-la-recherche/pieri-menuiserie-ebenisterie-71869","ROUTE DU CIMETIERE LIEU DIT PENTONE, 20250 CORTE","0495461912","menuiserie-pieri@orange.fr","3985352370","39853523700026","9",1320000,20,"43"
"MENUISERIE DU RANCH SARL","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-du-ranch-sarl-72035","LIEU-DIT PADULELLA RN 198, 20137 LECCI","0495715199","contact@menuiserieduranch.com","3267649410","32676494100018","41",6780000,20,"43"
"SOCIETE INDUSTRIELLE GENERALE DE MENUISERIE ET AGENCEMENT","https://www.qualibat.com/resultat-de-la-recherche/societe-industrielle-generale-de-menuiserie-et-agencement-68445","LIEU DIT SUARICCIA, 20620 BIGUGLIA","0495338352","sigma@groupevendasi.fr","3376254950","33762549500011","7",1900000,20,"43"
"MENUISERIE DU SUD","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-du-sud-171215","LIEU DIT CHIOSO SOPRANO PONTE BONELLO, 20167 SARROLA CARCOPINO","0495783664","menuiseriedusud2a@gmail.com","8280508310","82805083100019","5",300000,20,"43"
"SICAB","https://www.qualibat.com/resultat-de-la-recherche/sicab-70079","LOTISSEMENT CARRA ROUTE DE CALVI, 20167 MEZZAVIA","0495232234","info@sicabsarl.com","0471200920","04712009200011","33",2890000,20,"43"
"PEINTURE REVETEMENT ISOLATION MEDITERRANEE PRIM","https://www.qualibat.com/resultat-de-la-recherche/peinture-revetement-isolation-mediterranee-prim-71845","BP 62 RN 193 VALROSE, 20290 BORGO","0495308677","sarlprim@wanadoo.fr","3844908500","38449085000029","20",2180000,20,"43"
