"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"MANGEON SAS","https://www.qualibat.com/resultat-de-la-recherche/mangeon-sas-34825","24 BD CAMILLE DAGONNEAU, 58640 VARENNES VAUZELLES","0386610357","mangeon.sa@wanadoo.fr","5418800430","54188004300032","18",1680000,58,"51"
"GALLOIS ROBERT & ASS. (SARL)","https://www.qualibat.com/resultat-de-la-recherche/gallois-robert-ass-sarl--34857","ELECTRICITE-PLOMBERIE-CHAUFFAGE 50 RUE MARCEL ROBIN, 58640 VARENNES VAUZELLES","0386570667","gallois.sarl@wanadoo.fr","4345981730","43459817300012","24",1920000,58,"51"
"ENTREPRISE HOUSSIN ET FILS","https://www.qualibat.com/resultat-de-la-recherche/entreprise-houssin-et-fils-34815","ROUTE DE SAINT-SAULGE ZONE ARTISANALE BP 30, 58800 CORBIGNY","0386200792","sarlhoussin@orange.fr","4001638200","40016382000022","12",840189,58,"51"
"SALLIEGE SARL","https://www.qualibat.com/resultat-de-la-recherche/salliege-sarl-119523","50 BOULEVARD DE LA REPUBLIQUE, 58000 NEVERS","0386614526","salliege.chauffage58@orange.fr","5096634230","50966342300051","8",1040000,58,"51"
"EVRARD & FILS","https://www.qualibat.com/resultat-de-la-recherche/evrard-fils-94671","1 TER RUE DIDEROT, 58120 CHATEAU CHINON VILLE","0386782225","contact@evrardetfils.com","5385481990","53854819900016","26",1510000,58,"51"
"GENEOL GENIE CLIMATIQUE","https://www.qualibat.com/resultat-de-la-recherche/geneol-genie-climatique-68781","ZA DES CHAMONDS 11 RUE EDOUARD BRANLY, 58640 VARENNES VAUZELLES","0386575433","contact@geneol.fr","7318802580","73188025800041","33",3730000,58,"51"
"AD ENERGIE SASU","https://www.qualibat.com/resultat-de-la-recherche/ad-energie-sasu-178872","A D ENERGIE LIEU DIT SEGOULE 2 RUE DU MONT SAVAULT, 58270 ST BENIN D'AZY","0609833849","ade.energie@gmail.com","8478555820","84785558200015","1",232892,58,"51"
"STE ARTISANALE CLAMECYCOISE","https://www.qualibat.com/resultat-de-la-recherche/ste-artisanale-clamecycoise-34840","PLOMBERIE CHAUFFAGE 5 RUE DE L'ABATTOIR, 58500 CLAMECY","0386244076","accueil@sac-renovation.fr","3200525250","32005252500013","11",478330,58,"51"
"MONTARON SARL","https://www.qualibat.com/resultat-de-la-recherche/montaron-sarl-34957","ENT. BLANCHARD - BAILLY ELECTRICITÉ PLOMBEIRE CHAUFFAGE 13 ROUTE DE SAINT-AMAND, 58200 ALLIGNY COSNE","0386262991","montaronsarl@hotmail.fr","4915520140","49155201400012","9",655867,58,"51"
"PERRIN (SAS)","https://www.qualibat.com/resultat-de-la-recherche/perrin-sas--34880","ANCIENS ETS LASNE 38 RUE LOUIS FOUCHÈRE, 58600 FOURCHAMBAULT","0386588031","societeperrin@wanadoo.fr","3528391380","35283913800018","15",1430000,58,"51"
"LIBAULT","https://www.qualibat.com/resultat-de-la-recherche/libault-34823","PLOMBERIE CHAUFFAGE 28 RUE DE LA ROTONDE, 58000 NEVERS","0386576680","libault2@hotmail.com","7118802290","71188022900028","10",725316,58,"51"
"RICHARD ENTREPRISE","https://www.qualibat.com/resultat-de-la-recherche/richard-entreprise-155878","LD NEUFOND, 58270 ST JEAN AUX AMOGNES","0386689164","patrickrichard79@sfr.fr","4184733020","41847330200010","6",435668,58,"51"
"ANDRIOT PHILIPPE (SARL)","https://www.qualibat.com/resultat-de-la-recherche/andriot-philippe-sarl--34792","COUVERTURE-PLOMBERIE-CHAUFFAGE 10 BIS RUE LEDRU ROLLIN, 58170 LUZY","0386300138","sarl.andriot@orange.fr","4525504110","45255041100014","2",127433,58,"51"
"DA SILVA VALENTIN","https://www.qualibat.com/resultat-de-la-recherche/da-silva-valentin-154119","10 RUE LE DESSOUS LES VIGNES, 58460 CORVOL L'ORGUEILLEUX","0386291735","ent.dasilvavalentin@gmail.com","5339021020","53390210200011","4",240574,58,"51"
"ENGIE HOME SERVICES 2226 NEVERS","https://www.qualibat.com/resultat-de-la-recherche/engie-home-services-2226-nevers-117046","26, ROUTE DE LYON, 58000 SERMOISE SUR LOIRE","0386903064","veronique.silly@engie.com","3013405840","30134058402992","11",1430000,58,"51"
"POTIER BERNARD (SARL)","https://www.qualibat.com/resultat-de-la-recherche/potier-bernard-sarl--34833","COUVERTURE-PLOMBERIE-CHAUFFAGE 101 FAUBOURG DE LA BARATTE, 58000 NEVERS","0386610225","sarl.bernard.potier@wanadoo.fr","3116659130","31166591300035","21",2480000,58,"51"
"ENERGIE 2000 PLUS","https://www.qualibat.com/resultat-de-la-recherche/energie-2000-plus-98491","7 ALLEE DES ENTREPRENEURS, 58200 COSNE SUR LOIRE","0386283367","accueil@energie2000plus.com","7944569210","79445692100012","14",1140000,58,"51"
"EPN (SARL)","https://www.qualibat.com/resultat-de-la-recherche/epn-sarl--34993","LE PETIT MOULIN, 58160 IMPHY","0386686099","sarl-epn@wanadoo.fr","4048164560","40481645600069","8",690374,58,"51"
"BARROS PÈRE & FILS SARL","https://www.qualibat.com/resultat-de-la-recherche/barros-p-re-fils-sarl-34796","PLOMBERIE-CHAUFFAGE 19 RUE DE LA ROTONDE, 58000 NEVERS","0386572517","sarlbarros1@gmail.com","3534298060","35342980600014","8",425691,58,"51"
"LANGUMIER PHILIPPE","https://www.qualibat.com/resultat-de-la-recherche/langumier-philippe-106013","104 C AVENUE DE PARIS, 58320 POUGUES LES EAUX","0608421957","electricite.langumier@orange.fr","4146808270","41468082700030","4",512612,58,"51"
"VIODE SARL","https://www.qualibat.com/resultat-de-la-recherche/viode-sarl-34845","ROUTE DE CLAMECY, 58800 CORBIGNY","0386201214","viode@viode.fr","3399134280","33991342800019","18",1200000,58,"51"
"ENTREPRISE RENARD-B SARL","https://www.qualibat.com/resultat-de-la-recherche/entreprise-renard-b-sarl-174971","1 BIS RUE DU RAVELIN, 58000 NEVERS","0386611125","sarl.renard2@wanadoo.fr","8380632790","83806327900015","12",479053,58,"51"
"SONIMAC","https://www.qualibat.com/resultat-de-la-recherche/sonimac-118066","ZI SAINT ELOI 11 RUE GEORGES DUFAUD, 58000 NEVERS","0667242934","sonimac@wanadoo.fr","3399145900","33991459000049","5",658305,58,"51"
"BAUDRAS & FILS SAS","https://www.qualibat.com/resultat-de-la-recherche/baudras-fils-sas-34797","PLOMBERIE CHAUFFAGE 31 RUE DU PETIT MOUËSSE, 58000 NEVERS","0386614491","compta.baudras.nevers@wanadoo.fr","3401740510","34017405100011","14",1550000,58,"51"
"ENTREPRISE CHABANNE","https://www.qualibat.com/resultat-de-la-recherche/entreprise-chabanne-35027","8 RUE DES GATINES, 58150 TRACY SUR LOIRE","0386267034","chaban.elec@entreprise-chabanne.fr","4876569770","48765697700039","8",665129,58,"51"
"FERNANDES SARL","https://www.qualibat.com/resultat-de-la-recherche/fernandes-sarl-115874","11 RUE ROGER SALENGRO, 58260 LA MACHINE","0386504365","fernandes.chauffage@orange.fr","5196082850","51960828500010","3",640000,58,"51"
