"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"LES MENUISERIES DE L'AIN","https://www.qualibat.com/resultat-de-la-recherche/les-menuiseries-de-l-ain-53921","2 RUE DES ORMEAUX, 01000 BOURG EN BRESSE","0474222244","mda@men01.fr","3034692660","30346926600017","18",1610000,1,"43"
"MERMILLON FILS SARL","https://www.qualibat.com/resultat-de-la-recherche/mermillon-fils-sarl-53953","LE VILLAGE, 01410 CHEZERY FORENS","0450569015","eric.mermillon@orange.fr","7732000270","77320002700011","7",698360,1,"43"
"LEDO BATI","https://www.qualibat.com/resultat-de-la-recherche/ledo-bati-140395","ETS VITTET 18 T RUE VUILLERMOZ BALLAND, 01100 OYONNAX","0474773088","contact@vittet.fr","7896032550","78960325500041","5",473410,1,"43"
"SANDRON MENUISERIE","https://www.qualibat.com/resultat-de-la-recherche/sandron-menuiserie-54167","ZA DE LA BARE. 66 IMPASSE DU CHÊNE, 01480 CHALEINS","0474007392","sarl.sandron@k-net.fr","3490194060","34901940600025","10",1020000,1,"43"
"MENUISERIE AGENCEMENT CHARPENTE","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-agencement-charpente-73385","QUAI DU RHONE ZI LA BOCQUETTE, 01700 MIRIBEL","0478550415","contact@mac01700.com","4913806140","49138061400017","12",1010000,1,"43"
"NINET - GAVIN","https://www.qualibat.com/resultat-de-la-recherche/ninet---gavin-53979","3 CHEMIN TRÈS MOULIN BP 259, 01202 CHATILLON EN MICHAILLE","0450480618","m.hauw@ninet-gavin.fr","7662004630","76620046300012","23",2990000,1,"43"
"PEROTTO F ENTREPRISE","https://www.qualibat.com/resultat-de-la-recherche/perotto-f-entreprise-53524","23 RUE CHARLES ROBIN, 01000 BOURG EN BRESSE","0474231713","contact@perotto.fr","7712012250","77120122500014","12",1610000,1,"43"
"SOTRIMO","https://www.qualibat.com/resultat-de-la-recherche/sotrimo-143863","ZA LES FOLLIOUSES - LES ECHETS 111 RUE DES PROFONDIÈRES, 01700 MIRIBEL","0977512957","sotrimo.sa@gmail.com","7913086460","79130864600029","9",1900000,1,"43"
"GROS FRÈRES (MENUISERIE EBENISTERIE AGENCEMENT)","https://www.qualibat.com/resultat-de-la-recherche/gros-fr-res-menuiserie-ebenisterie-agencement--53866","221 CHEMIN DE LA ZA, 01370 ST ETIENNE DU BOIS","0474305058","gros.freres@wanadoo.fr","9983888130","99838881300029","5",476437,1,"43"
"MENUISERIE BEAL","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-beal-54362","62 CHEMIN DES CURTILS, 01340 MONTREVEL EN BRESSE","0474254205","menuiseriebeal@wanadoo.fr","4141527690","41415276900017","16",1740000,1,"43"
"ROUX & FILS","https://www.qualibat.com/resultat-de-la-recherche/roux-fils-54069","3345 ROUTE DE MONTREVEL, 01380 BAGE LA VILLE","0385304265","contact@menuiserie-roux-01.fr","3826579060","38265790600014","9",998108,1,"43"
"C'BOIS MENUISERIE","https://www.qualibat.com/resultat-de-la-recherche/c-bois-menuiserie-27841","ZONE INDUSTRIELLE 482 RUE DE L'INDUSTRIE, 01480 JASSANS RIOTTIER","0474683376","sarl@cboismenuiserie.com","3074208280","30742082800039","12",1730000,1,"43"
"GIROD MORETTI SAS","https://www.qualibat.com/resultat-de-la-recherche/girod-moretti-sas-53968","LIEU DIT EN FAURIANNE, 01460 BEARD GEOVREISSIAT","0474752601","carmengrobas@girodmoretti.com","3450102270","34501022700048","31",4310000,1,"43"
"BLANCHARD FRÈRES","https://www.qualibat.com/resultat-de-la-recherche/blanchard-fr-res-53689","925 RUE DU JURA, 01170 CESSY","0450415238","secretariat@blanchardfreres.fr","7672011550","76720115500011","8",712286,1,"43"
"MONTBARBON MENUISERIE","https://www.qualibat.com/resultat-de-la-recherche/montbarbon-menuiserie-90451","RUE LOUIS BLERIOT PARC ACTIVITES CHALARONNE CENTRE, 01400 CHATILLON SUR CHALARONNE","0474551293","menuiserie@montbarbon.net","5317825710","53178257100024","8",822309,1,"43"
"UNICIA","https://www.qualibat.com/resultat-de-la-recherche/unicia-177260","303 RUE DU CHAT BOTTE ZAC DES MALETTES, 01700 BEYNOST","0478783150","carole.alcaraz@iserba.fr","8419396630","84193966300016","26",3160000,1,"43"
"BOULLY PATRICK MENUISERIE","https://www.qualibat.com/resultat-de-la-recherche/boully-patrick-menuiserie-116204","70 CHEMIN DES METRILLOTS, 01250 MONTAGNAT","0474426191","contact@menuiserie-boully.fr","4900658510","49006585100019","14",1500000,1,"43"
