"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"MOREL ET CIE","https://www.qualibat.com/resultat-de-la-recherche/morel-et-cie-40664","15 AVENUE HOCHE, 94320 THIAIS","0146803042","entreprise@ste-morel.fr","6820215060","68202150600022","23",3620000,94,"31"
"ART THISAN","https://www.qualibat.com/resultat-de-la-recherche/art-thisan-119622","3 IMPASSE DES TERRASSES, 94440 SANTENY","0156329833","contact@art-thisan.fr","5277944810","52779448100020","6",570028,94,"31"
"FRANCE COUVERTURE ARTS ET TECHNIQUE DU TOIT","https://www.qualibat.com/resultat-de-la-recherche/france-couverture-arts-et-technique-du-toit-40541","81/83 RUE EDITH CAVELL, 94400 VITRY SUR SEINE","0634580865","france.couverture@yahoo.fr","3953694240","39536942400035","8",592797,94,"31"
"CALONNE","https://www.qualibat.com/resultat-de-la-recherche/calonne-40717","6 RUE VAILLANT COUTURIER, 94140 ALFORTVILLE","0143284975","calonne1@wanadoo.fr","4213988430","42139884300027","19",2130000,94,"31"
"SAS LM CHARPENTE COUVERTURE","https://www.qualibat.com/resultat-de-la-recherche/sas-lm-charpente-couverture-158295","12 ALL DES MESANGES, 94420 LE PLESSIS TREVISE","0156316508","saslmcharpentecouverture@gmail.com","7529805570","75298055700025","3",235000,94,"31"
"LOUVRADOUX","https://www.qualibat.com/resultat-de-la-recherche/louvradoux-41129","7 RUE DU COMMANDANT JEAN DUHAIL, 94120 FONTENAY SOUS BOIS","0148769388","louvradoux.sa@wanadoo.fr","3785906990","37859069900021","16",2820000,94,"31"
"PARENT ET FILS","https://www.qualibat.com/resultat-de-la-recherche/parent-et-fils-95712","31 RUE JULIEN CHAILLIOUX, 94260 FRESNES","0146450042","bernard.parent10@orange.fr","4512463910","45124639100044","2",232848,94,"31"
"CHARDIN","https://www.qualibat.com/resultat-de-la-recherche/chardin-40819","24 RUE AUGUSTE PERRET ZAC DE LA PETITE BRUYERE, 94800 VILLEJUIF","0145158080","ets-chardin@ets-chardin.fr","6620229530","66202295300043","43",5540000,94,"31"
"IANNACE","https://www.qualibat.com/resultat-de-la-recherche/iannace-40677","92 AVENUE DE LA REPUBLIQUE, 94320 THIAIS","0146823052","iannace.couverture@free.fr","4316853870","43168538700026","7",666025,94,"31"
"ALAZARD","https://www.qualibat.com/resultat-de-la-recherche/alazard-40233","60 RUE GUY MOQUET, 94500 CHAMPIGNY SUR MARNE","0147063000","secretariat@alazard-sas.com","3422035280","34220352800027","82",13000000,94,"31"
"DA SILVA ENTREPRISE GENERALE","https://www.qualibat.com/resultat-de-la-recherche/da-silva-entreprise-generale-41055","199 RUE PAUL VAILLLANT COUTURIER, 94140 ALFORTVILLE","0143752812","ets.dasilva@wanadoo.fr","5721350850","57213508500023","13",1250000,94,"31"
"MEHA","https://www.qualibat.com/resultat-de-la-recherche/meha-40361","19 RUE GABRIEL PERI, 94460 VALENTON","0143895788","contact@meha.fr","3213945040","32139450400054","42",5940000,94,"31"
"TEIMAC","https://www.qualibat.com/resultat-de-la-recherche/teimac-176162","73 BD DE BRANDEBOURG, 94200 IVRY SUR SEINE","0184244484","compta@teimac.com","8027634250","80276342500013","6",935485,94,"31"
"TECHNIQUES & NORMES  DE COUVERTURE","https://www.qualibat.com/resultat-de-la-recherche/techniques-normes-de-couverture-88279","18 BOULEVARD DU GENERAL GIRAUD, 94100 SAINT MAUR DES FOSSES","0145832458","contact@maisontmc.fr","5046140170","50461401700037","13",1780000,94,"31"
"AZ COUVERTURE","https://www.qualibat.com/resultat-de-la-recherche/az-couverture-119830","35 RUE DE LA CROIX ROUGE FRANCAISE, 94500 CHAMPIGNY SUR MARNE","0147060521","azcouverture@orange.fr","4787773860","47877738600010","5",143567,94,"31"
"DOMANGE","https://www.qualibat.com/resultat-de-la-recherche/domange-44377","17 RUE EMILIE GOEURY, 94140 ALFORTVILLE","0158734312","domange@domange-entreprise.fr","5620873870","56208738700022","19",3460000,94,"31"
