"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"L'ART DU PLATRE","https://www.qualibat.com/resultat-de-la-recherche/l-art-du-platre-186243","42 RUE DE GASCOGNE, 25200 GRAND CHARMONT","0682829824","contact@lart-du-platre.fr","8219937300","82199373000026","9",497859,25,"41"
"BATI EMPLOI","https://www.qualibat.com/resultat-de-la-recherche/bati-emploi-186168","6 RUE LOUIS JEANPERRIN ZONE DU CHARMONTET, 25200 MONTBELIARD","0381949195","cap-emploi.entreprise-insertion@wanadoo.fr","3933845570","39338455700020","14",354379,25,"41"
"MENETRIER SARL","https://www.qualibat.com/resultat-de-la-recherche/menetrier-sarl-57489","2-4-6, RUE FRÉDÉRIC JAPY SITE DE LA ROCHE, 25420 BART","0381984444","sa.menetrier@cube-france.com","3093448770","30934487700035","20",3230000,25,"41"
"MURATORI SARL","https://www.qualibat.com/resultat-de-la-recherche/muratori-sarl-57321","3, RUE ETIENNE VIENOT, 25200 MONTBELIARD","0381930190","secretariat@muratoridecoration.fr","3344876420","33448764200020","19",1430000,25,"41"
"BARTHOD SARL","https://www.qualibat.com/resultat-de-la-recherche/barthod-sarl-83691","LIEUDIT SUR LAVENNE, 25110 VILLERS SAINT MARTIN","0381842028","jack.barthod@orange.fr","4225809510","42258095100016","3",447366,25,"41"
"PARGAUD PLÂTRERIE PEINTURE SÀRL","https://www.qualibat.com/resultat-de-la-recherche/pargaud-pl-trerie-peinture-s-rl-57435","74, RUE DU GÉNÉRAL DE GAULLE, 25420 BART","0381905805","pargaud.sarl@orange.fr","3191008710","31910087100049","17",2230000,25,"41"
"MOUGE CYRIL SARL","https://www.qualibat.com/resultat-de-la-recherche/mouge-cyril-sarl-153751","2 B, RUE DES CLARINES, 25520 SOMBACOUR","0381382789","sarlmouge@orange.fr","4533037370","45330373700028","3",271295,25,"41"
"ROY MENUISERIE CHARPENTE","https://www.qualibat.com/resultat-de-la-recherche/roy-menuiserie-charpente-176411","8E RUE DE LA CROIX, 25620 FOUCHERANS","0676280608","rmc25620@gmail.com","8421526470","84215264700017","1",120836,25,"41"
"AGIBAT - GROUPE VLYM","https://www.qualibat.com/resultat-de-la-recherche/agibat---groupe-vlym-183493","30 RUE THOMAS EDISON, 25000 BESANCON","0381485151","aurelie.girardet@agibat.com","8813352770","88133527700011","43",1910000,25,"41"
"GROSPERRIN ENTREPRISE S.A.S.","https://www.qualibat.com/resultat-de-la-recherche/grosperrin-entreprise-s-a-s--57476","12, ROUTE DE CLERVAL, 25430 SANCEY","0381863345","grosperrin.entreprise@wanadoo.fr","3200320480","32003204800029","15",1560000,25,"41"
"BOISSIERE SA","https://www.qualibat.com/resultat-de-la-recherche/boissiere-sa-57631","21 B,  RUE DENIS PAPIN Z.I., 25300 PONTARLIER","0381468591","boissiere.sa@orange.fr","3123310690","31233106900020","12",950197,25,"41"
"R PROJET BAT","https://www.qualibat.com/resultat-de-la-recherche/r-projet-bat-188008","11 RUE DE BUSY, 25440 QUINGEY","0630999517","rprojetbat@gmail.com","8798167910","87981679100013","1",1,25,"41"
"BESANCON TOUS TRAVAUX","https://www.qualibat.com/resultat-de-la-recherche/besancon-tous-travaux-57897","26, RUE DE L'EGLISE BP 877, 25025 BESANCON CEDEX","0381474545","bttbatiment@orange.fr","3175778070","31757780700033","30",1410000,25,"41"
"POLE BATIMENT","https://www.qualibat.com/resultat-de-la-recherche/pole-batiment-93796","155, RUE DES EPASSES ZONE TECHNOLAND, 25600 BROGNARD","0381917621","polebatiment@gmail.com","7504542330","75045423300016","7",1050000,25,"41"
"TECNIBAT","https://www.qualibat.com/resultat-de-la-recherche/tecnibat-184119","32 RUE THOMAS EDISON, 25000 BESANÇON","0381485191","thomas-fernandez@tecnibat.fr","8838011690","88380116900011","23",2080000,25,"41"
"LUGANT S. EURL","https://www.qualibat.com/resultat-de-la-recherche/lugant-s-eurl-105189","ZA DES BANARDES 2 RUE DU PRELOT, 25800 LE VALDAHON","0675549991","s.lugant@orange.fr","4977562540","49775625400031","10",657964,25,"41"
