"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"FERRANDO ET FILS","https://www.qualibat.com/resultat-de-la-recherche/ferrando-et-fils-79298","ZA DE LA BARTHE RUE DU MARECHAL FERRAN, 34230 PAULHAN","0467894537","ets.ferrando@orange.fr","3154939810","31549398100031","6",717499,34,"44"
"SOMETAL","https://www.qualibat.com/resultat-de-la-recherche/sometal-93306","ROUTE DE CLERMONT L'HERAULT, 34800 PERET","0467961806","sometal34@wanadoo.fr","3424255840","34242558400022","24",4280000,34,"44"
"GJP (SARL) OXYCOUPAGE SERRURERIE","https://www.qualibat.com/resultat-de-la-recherche/gjp-sarl-oxycoupage-serrurerie-3018","ZA ESPACE COMMERCIAL FREJORGUES 365 RUE HELENE BOUCHER, 34130 MAUGUIO","0467644119","sarlgjp10@gmail.com","3835759330","38357593300015","6",542738,34,"44"
"SOLATRAG","https://www.qualibat.com/resultat-de-la-recherche/solatrag-2515","2 RUE DE CHIMINIE CS 30003, 34302 AGDE CEDEX","0467945394","contact@solatrag.fr","6129200820","61292008200023","106",17790000,34,"44"
"CLOTURES POUSSINE  SAS BRODU","https://www.qualibat.com/resultat-de-la-recherche/clotures-poussine-sas-brodu-166916","CHEMIN DE MEZOULS A BOSC-VIEL, 34130 MAUGUIO","0467296061","contact@cloturespoussine.fr","8223950180","82239501800028","6",1230000,34,"44"
"METALLERIE OCCITANE","https://www.qualibat.com/resultat-de-la-recherche/metallerie-occitane-92986","6 AV SAINT MAURICE SAURET, 34000 MONTPELLIER","0467639937","metalocci@wanadoo.fr","4113622540","41136225400012","3",603226,34,"44"
"PROTECTION ACCES SERRURERIE SERVICE ETUDE","https://www.qualibat.com/resultat-de-la-recherche/protection-acces-serrurerie-service-etude-170378","41 RUE YVES MONTAND, 34080 MONTPELLIER","0624293271","contact.passe@gmail.com","8294149030","82941490300015","10",1000000,34,"44"
"SERRURERIE METALLERIE OCCITANE","https://www.qualibat.com/resultat-de-la-recherche/serrurerie-metallerie-occitane-188472","VIILA 12 63 RUE DES HORTS, 34560 POUSSAN","0680931338","smo.herault@gmail.com","8896412050","88964120500014","3",1,34,"44"
"VAQUIER ET FILS","https://www.qualibat.com/resultat-de-la-recherche/vaquier-et-fils-3454","21 AVENUE DE LA GARE, 34660 COURNONTERRAL","0467850225","sarlvaquier@wanadoo.fr","3900792910","39007929100014","11",1310000,34,"44"
"HELIX","https://www.qualibat.com/resultat-de-la-recherche/helix-76552","ZAC FREJORGUES OUEST 56 RUE ICARE, 34130 MAUGUIO","0467733997","info@helix-metal.com","4531614730","45316147300047","16",2660000,34,"44"
"AGRIPAL CLOTURES","https://www.qualibat.com/resultat-de-la-recherche/agripal-clotures-77212","14 RUE ANDRE BLONDEL, 34500 BEZIERS","0467322246","audrey@agripal-clotures.com","4540015610","45400156100058","39",6800000,34,"44"
