"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"LE FER NORMAND","https://www.qualibat.com/resultat-de-la-recherche/le-fer-normand-11435","ROUTE DE GRISY ZA DU CADRAN, 14170 SAINT PIERRE EN AUGE","0231203231","secretariat.lefernormand@gmail.com","4222766830","42227668300048","19",3320000,14,"44"
"DEFIBAT","https://www.qualibat.com/resultat-de-la-recherche/defibat-11376","PARC D'ACTIVITÉ 642 AVENUE DES DIGUES, 14123 FLEURY SUR ORNE","0231849600","defibat@defibat.fr","4192509150","41925091500024","31",4110000.0000000005,14,"44"
"MSTI","https://www.qualibat.com/resultat-de-la-recherche/msti-155251","5 RUE SAINT ANDRE, 14320 MAY SUR ORNE","0231912954","msti-14@orange.fr","8100623800","81006238000011","5",630364,14,"44"
"METALVER","https://www.qualibat.com/resultat-de-la-recherche/metalver-11096","6 AVENUE DU CHEMIN AUX BOEUFS  BRETTEVILLE SUR ODON BP 90144, 14650 CARPIQUET","0231265944","metalver@wanadoo.fr","5838210870","58382108700033","11",1540000,14,"44"
"ETABLISSEMENTS COLLIN","https://www.qualibat.com/resultat-de-la-recherche/etablissements-collin-11004","138 AVENUE DE LA SUISSE NORMANDE, 14123 FLEURY SUR ORNE","0231835472","christine.lecornu@ets-collin.fr","3149792610","31497926100059","20",2180000,14,"44"
"CASTELAIN","https://www.qualibat.com/resultat-de-la-recherche/castelain-11000","11 RUE DU DOCTEUR LAINE, 14800 TOUQUES","0231882505","sa.castelain.deauville@wanadoo.fr","3403861430","34038614300036","8",650959,14,"44"
"J.M. BON","https://www.qualibat.com/resultat-de-la-recherche/j-m-bon-94832","19 AVENUE DE LA PLAINE, 14760 BRETTEVILLE SUR ODON","0231734403","charlotte@jmbon.fr","7519143590","75191435900011","25",3220000,14,"44"
"AFM","https://www.qualibat.com/resultat-de-la-recherche/afm-90029","ZA DE CARDONVILLE VOIE DES ALLIÉS  BRETTEVILLE L'ORGUEILLEUSE, 14740 THUE ET MUE","0233421099","accueil@afm14.fr","5319863700","53198637000033","14",5460000,14,"44"
"GUELLE-LECHAUVE","https://www.qualibat.com/resultat-de-la-recherche/guelle-lechauve-10986","RUE DE TROARN, 14850 ESCOVILLE","0231788039","g.lechauve@orange.fr","3113275140","31132751400015","11",1350000,14,"44"
"CLOSYSTEM","https://www.qualibat.com/resultat-de-la-recherche/closystem-11249","ZI OUEST CHEMIN DES BISSONETS, 14650 CARPIQUET","0231155131","contact@closystem.com","5838215170","58382151700021","9",2820000,14,"44"
"SNM - SOCIETE NOUVELLE DE METALLERIE","https://www.qualibat.com/resultat-de-la-recherche/snm---societe-nouvelle-de-metallerie-74398","PARC D'ACTIVIT_S RIVES DE L'ODON 275 RUE VERTE, 14790 MOUEN","0231344307","contact@snm14.fr","4236221900","42362219000035","39",4840000,14,"44"
"ATELIERS MONDEVILLAIS DE CONSTRUCTIONS METALLIQUES AMCM","https://www.qualibat.com/resultat-de-la-recherche/ateliers-mondevillais-de-constructions-metalliques-amcm-10967","36 CHEMIN AUX BOEUFS, 14120 MONDEVILLE","0231837364","amcm@amcm-14.com","4332841140","43328411400017","17",3070000,14,"44"
"BMS","https://www.qualibat.com/resultat-de-la-recherche/bms-181409","8 CHEMIN DES TERTRES, 14930 VIEUX","0231710194","behague.renaud@behaguemetallerie.fr","8109849300","81098493000018","6",585628,14,"44"
"MSC CONSTRUCTION METALLIQUE","https://www.qualibat.com/resultat-de-la-recherche/msc-construction-metallique-160831","BOULEVARD DE L'ESPÉRANCE BP 21, 14123 CORMELLES LE ROYAL","0231357095","accueil@msc-caen.fr","8196347830","81963478300016","22",2730000,14,"44"
"SAS LEHAIN","https://www.qualibat.com/resultat-de-la-recherche/sas-lehain-11157","68 RUE FOURNET, 14100 LISIEUX","0231620398","contact@lehain.fr","4043823760","40438237600022","8",998325,14,"44"
