"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"APITM","https://www.qualibat.com/resultat-de-la-recherche/apitm-89905","TECHNOPOLE HELIOPARC 2 AVENUE PRESIDENT PIERRE ANGOT, 64053 PAU ","0559920736","contact@apitm.fr","5211016750","52110167500010","3",185000,64,"87"
"DIAGNOSTIC IMMO 3H","https://www.qualibat.com/resultat-de-la-recherche/diagnostic-immo-3h-184801","ADAMENEKO BIDEA APPT N3 QUARTIER MAURICE PIERRE, 64210 BIDART","0984150614","paysbasque@activexpertise.fr","8229213750","82292137500017","3",257127,64,"87"
"AAC AGENCE ATLANTIC CONTROLE","https://www.qualibat.com/resultat-de-la-recherche/aac-agence-atlantic-controle-90990","50 RUE CHAPELET, 64200 BIARRITZ","0675663168","rt2012@acontrole.fr","4301009740","43010097400061","26",2000000,64,"87"
"LAFD","https://www.qualibat.com/resultat-de-la-recherche/lafd-93994","9 AVENUE DE CUMBA, 64210 BIDART","0559247743","lautaq@gmail.com","5233370530","52333705300020","1",9607,64,"87"
"BARBOTIN STEPHANE","https://www.qualibat.com/resultat-de-la-recherche/barbotin-stephane-93613","20 PLACE DE LA RESISTANCE, 64400 OLORON STE MARIE","0613310383","barbotin-stephane@wanadoo.fr","3256594150","32565941500039","1",NaN,64,"87"
"INSPYR DEVELOPPEMENT","https://www.qualibat.com/resultat-de-la-recherche/inspyr-developpement-182786","Not found","Not found","Not found","8529309160","85293091600014","Adresse : TECHNOPÔLE HELIOPARC 2 AVENUE PIERRE ANGOT, 64053 PA",NaN,64,"87"
"INSPYR ENERGIES ENVIRONNEMENT","https://www.qualibat.com/resultat-de-la-recherche/inspyr-energies-environnement-163201","Not found","Not found","Not found","8225014410","82250144100015","Adresse : 2 AVENUE PIERRE ANGOT TECHNOPOLE HELIOPARC, 64053 PA",NaN,64,"87"
"CABINET BARRERE","https://www.qualibat.com/resultat-de-la-recherche/cabinet-barrere-172123","8 BIS AVENUE LASBORDES, 64420 SOUMOULOU","0559160592","contact@expertise-barrere.com","4792594000","47925940000022","10",1090000,64,"87"
"HAIZECO","https://www.qualibat.com/resultat-de-la-recherche/haizeco-106417","ROUTE DE BEYRIE ZA ORDOKIAN PÉPINIERE ENTREPRISES INDAR, 64120 ST PALAIS","0675668812","haizeco@orange.fr","7991392580","79913925800013","1",NaN,64,"87"
"INERJ","https://www.qualibat.com/resultat-de-la-recherche/inerj-142111","3 AVENUE BERNADOTTE, 64110 JURANCON","0682371022","damienpichot@inerj.fr","8094350760","80943507600017","1",NaN,64,"87"
"PECASTAING SYLVIE","https://www.qualibat.com/resultat-de-la-recherche/pecastaing-sylvie-97608","18 RUE DES PASSEREAUX, 64290 GAN","0559218394","contact@ecomaesure.fr","5381127150","53811271500015","1",11702,64,"87"
"BIO-HABITAT CONCEPT","https://www.qualibat.com/resultat-de-la-recherche/bio-habitat-concept-89908","34 BIS RUE DE PITOYS, 64600 ANGLET","0982442800","contact@habitatbc.fr","5216237020","52162370200029","1",NaN,64,"87"
"SAO ROMAO PALHA ANTHONY","https://www.qualibat.com/resultat-de-la-recherche/sao-romao-palha-anthony-99285","3 RUE PAUL GOUGEARD, 64600 ANGLET","0685750799","contact@etudes-infiltro.com","4293638490","42936384900085","1",NaN,64,"87"
"AQUITAINE INFRA ROUGE","https://www.qualibat.com/resultat-de-la-recherche/aquitaine-infra-rouge-89851","Not found","Not found","Not found","5087326090","50873260900013","Adresse : CHEMIN DE BEHOTEGIA, 64240",NaN,64,"87"
