"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"ENTREPRISE SILVANO PERE ET FILS & CIE","https://www.qualibat.com/resultat-de-la-recherche/entreprise-silvano-pere-et-fils-cie-9282","11, CHEMIN SAINT-GENIÈS, 84000 AVIGNON","0490885361","comptabilite@silvano-sa.fr","6226205570","62262055700018","18",1830000,84,"43"
"MENUISERIE ILLE","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-ille-104368","347 ALLEE DES ENTREPRENEURS, 84210 VENASQUE","0490661924","menuiserie-ille@hotmail.fr","7518579210","75185792100025","10",461674,84,"43"
"ATELIER FRANCHINI","https://www.qualibat.com/resultat-de-la-recherche/atelier-franchini-8951","1438  ROUTE D ORANGE, 84200 CARPENTRAS","0490600842","babeth.hurtados@atelier-franchini.fr","3842527970","38425279700012","39",2990000,84,"43"
"ENTREPRISE A. GIRARD","https://www.qualibat.com/resultat-de-la-recherche/entreprise-a-girard-9727","390, RUE DU GRAND GIGOGNAN BP 20985 COURTINE - MOURRE FRAIS, 84094 AVIGNON CEDEX 9","0490807650","girard@vinci-construction.fr","5726217120","57262171200064","146",21960000,84,"43"
"EDOLI STE D EXPLOITATION","https://www.qualibat.com/resultat-de-la-recherche/edoli-ste-d-exploitation-76710","208 ROUTE DE LA BEZARDE, 84260 SARRIANS","0490654148","michel.edoli@wanadoo.fr","5014826400","50148264000015","2",590925,84,"43"
"MENUISERIE PELLEN","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-pellen-82122","263 BD ALBERT ROBERT, 84240 LA TOUR D'AIGUES","0490074389","menuiserie.pellen@wanadoo.fr","3436070320","34360703200012","4",361761,84,"43"
"DACOS ENTREPRISE","https://www.qualibat.com/resultat-de-la-recherche/dacos-entreprise-155984","3216 CHEMIN DE ST GENS QUARTIER TERRADOU, 84200 CARPENTRAS","0490657605","dacos.compta@dacos-menuiseries.fr","4447932280","44479322800032","34",8620000,84,"43"
"GROSJEAN","https://www.qualibat.com/resultat-de-la-recherche/grosjean-9130","Z.I. LA GREZE ALLEE GERMAIN AUBERT, 84600 VALREAS","0490350322","info@menuiserie-grosjean.com","3349148920","33491489200016","26",2870000,84,"43"
"MATERIAUX OUVRES DU BATIMENT","https://www.qualibat.com/resultat-de-la-recherche/materiaux-ouvres-du-batiment-9276","""M.O.B."" ROUTE D'UCHAUX, 84100 ORANGE","0490344259","mob-sa@mob-sa.fr","7073207270","70732072700019","19",4080000,84,"43"
"MENUISERIE TIBERGHIEN","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-tiberghien-10195","23 IMPASSE DE L'AYGUES CADEROUSSE, 84860 CADEROUSSE","0490519386","menuiserie.tiberghien@orange.fr","3447419390","34474193900013","8",795593,84,"43"
