"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"LOU FUSTIERS","https://www.qualibat.com/resultat-de-la-recherche/lou-fustiers-135357","LE BETONNET, 19300 ROSIERS D'EGLETONS","0685815098","sarl.loufustiers.jouve@orange.fr","4389753930","43897539300028","3",280000,19,"86"
"JOANNY JEAN FRANÇOIS","https://www.qualibat.com/resultat-de-la-recherche/joanny-jean-fran-ois-138133","4 LA MAISONNEUVE, 19220 SERVIERES LE CHATEAU","0555282042","jeanfrancois.joanny@yahoo.fr","4993107530","49931075300011","2",64913,19,"86"
"EURL FARGE ENTREPRISE","https://www.qualibat.com/resultat-de-la-recherche/eurl-farge-entreprise-110267","LA BORIE, 19150 LAGARDE ENVAL","0683226821","jf.farge@laposte.net","5039076690","50390766900017","3",440000,19,"86"
"TAYANT ET FILS","https://www.qualibat.com/resultat-de-la-recherche/tayant-et-fils-138989","PEYREGUIDE, 19360 MALEMORT","0555929269","sarltayantetfils@free.fr","4385339370","43853393700019","2",109138,19,"86"
"TOUQUET ENTREPRISE","https://www.qualibat.com/resultat-de-la-recherche/touquet-entreprise-109315","23 RUE DE LA MAIRIE, 19170 BUGEAT","0555955113","michel.touquet@orange.fr","3847797400","38477974000016","1",198000,19,"86"
"ENTREPRISE PATIER","https://www.qualibat.com/resultat-de-la-recherche/entreprise-patier-139574","6 RUE JOSEPH YERNEAUX, 19100 BRIVE LA GAILLARDE","0555854646","entreprisepatier@yahoo.fr","8097053120","80970531200027","16",1150000,19,"86"
"MAINIE COUVERTURE","https://www.qualibat.com/resultat-de-la-recherche/mainie-couverture-120652","LA GUDET, 19360 VENARSAL","0555228925","mainiecouverture@yahoo.fr","4528486820","45284868200020","4",365567,19,"86"
"FERREIRA PATRICK EURL","https://www.qualibat.com/resultat-de-la-recherche/ferreira-patrick-eurl-130626","AVENUE DES MARRONNIERS, 19160 NEUVIC","0699742904","ferreira_patrick@bbox.fr","5031821070","50318210700014","3",366987,19,"86"
"SAGNOT PHILIPPE","https://www.qualibat.com/resultat-de-la-recherche/sagnot-philippe-157354","LES GANNES, 19300 SOUDEILLES","0555936068","psagnot@hotmail.com","4883650990","48836509900032","3",209991,19,"86"
"MENUISERIE BOIVERT","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-boivert-120065","LE BOURG, 19290 ST SETIERS","0555956291","menuiserieboivert@orange.fr","4121015030","41210150300016","4",385467,19,"86"
"LOUCHART SARL","https://www.qualibat.com/resultat-de-la-recherche/louchart-sarl-120073","21 BOULEVARD VOLTAIRE, 19100 BRIVE","0555241726","louchartsarl@orange.fr","3192140370","31921403700024","5",316133,19,"86"
"COUTURAS DANIEL CLAUDE","https://www.qualibat.com/resultat-de-la-recherche/couturas-daniel-claude-100402","33 QUAI ARISTIDE BRIAND, 19000 TULLE","0555263181","contact@couturas.fr","4351829280","43518292800018","3",577500,19,"86"
"AMBIANCE ET RENOVATION","https://www.qualibat.com/resultat-de-la-recherche/ambiance-et-renovation-179662","9 RUE FADAT, 19100 BRIVE LA GAILLARDE","0966030718","ambiance.renovation19@gmail.com","8501499490","85014994900016","4",734352,19,"86"
"RIBEIRO PERE ET FILS SARL","https://www.qualibat.com/resultat-de-la-recherche/ribeiro-pere-et-fils-sarl-144696","LE THEIL ZONE INDUSTRIELLE, 19200 USSEL","0555723221","ribeiro.pereetfils@bbox.fr","4402477160","44024771600010","3",216965,19,"86"
"MASDUPUY JEAN MARIE","https://www.qualibat.com/resultat-de-la-recherche/masdupuy-jean-marie-107854","MONTAURAL, 19240 ALLASSAC","0685207583","jean-marie.masdupuy@wanadoo.fr","8140328350","81403283500013","2",340000,19,"86"
"ISOLANO","https://www.qualibat.com/resultat-de-la-recherche/isolano-177208","25 RUE COURTELINE, 19100 BRIVE","0630875810","isolano@orange.fr","5390601030","53906010300022","1",143282,19,"86"
"AVENIR ENERGIE 19","https://www.qualibat.com/resultat-de-la-recherche/avenir-energie-19-178733","GARGNES, 19150 PANDRIGNES","0785853517","avenirenergie19@gmail.com","8443867970","84438679700014","4",312206,19,"86"
"VICHY-FONTENEAU","https://www.qualibat.com/resultat-de-la-recherche/vichy-fonteneau-186099","26 RUE GENERAL DESBRULYS, 19100 BRIVE LA GAILLARDE","0555859722","vichy.fonteneau@gmail.com","8446878710","84468787100013","6",337097,19,"86"
"FRED MENUISERIE","https://www.qualibat.com/resultat-de-la-recherche/fred-menuiserie-160856","TREMOUILLE, 19150 LAGARDE ENVAL","0555206680","fredmenuiserie19@orange.fr","8205611990","82056119900010","1",123916,19,"86"
"EYMA THIERRY","https://www.qualibat.com/resultat-de-la-recherche/eyma-thierry-105185","CHASSAT, 19400 ST HILAIRE TAURIEUX","0555283723","thierry.eyma@orange.fr","4235161370","42351613700019","2",140000,19,"86"
"GIOUX NICOLAS","https://www.qualibat.com/resultat-de-la-recherche/gioux-nicolas-114450","LE JANOUEIX, 19250 MEYMAC","0683507311","contact@plomberie-gioux.fr","7914336340","79143363400015","4",476000,19,"86"
"MENUISERIE ROLAND ALBARET","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-roland-albaret-110928","3 RUE NEUVE, 19220 ST PRIVAT","0555285339","","7904226790","79042267900015","1",250000,19,"86"
"DONZEAU MICHEL","https://www.qualibat.com/resultat-de-la-recherche/donzeau-michel-124902","RUE JOSEPH COUDERT, 19130 OBJAT","0555258586","michel.donzeau@wanadoo.fr","3209291930","32092919300011","2",191785,19,"86"
"ETS CHATEL","https://www.qualibat.com/resultat-de-la-recherche/ets-chatel-167079","4 RUE LOUIS LEPINE ZA BRIVE EST, 19100 BRIVE LA GAILLARDE","0555244703","chatel19100@gmail.com","8249728890","82497288900011","5",377833,19,"86"
"DUMOND ET FILS S.A.S","https://www.qualibat.com/resultat-de-la-recherche/dumond-et-fils-s-a-s-100523","POMMIER, 19140 CONDAT SUR GANAVEIX","0555736026","dumond-et-fils@orange.fr","7913043890","79130438900012","4",375925,19,"86"
"VERGNE J. ET FILS","https://www.qualibat.com/resultat-de-la-recherche/vergne-j-et-fils-61853"," 121 AVENUE RIBOT, 19100 BRIVE LA GAILLARDE","0555230226","ets-vergne-et-fils@wanadoo.fr","3342983530","33429835300023","2",169032,19,"86"
"PINTO DE MAGALHAES DOMINIQUE","https://www.qualibat.com/resultat-de-la-recherche/pinto-de-magalhaes-dominique-148638","LE SAULE HAUT, 19360 COSNAC","0555231442","","4213573690","42135736900014","1",132385,19,"86"
"MAP","https://www.qualibat.com/resultat-de-la-recherche/map-163044","LE BOURG, 19270 ST PARDOUX L'ORTIGIER","0661624540","alexandre.map19@gmail.com","8200712230","82007122300029","1",92207,19,"86"
"MAURY THERMIQUE SARL","https://www.qualibat.com/resultat-de-la-recherche/maury-thermique-sarl-158563","37 AVENUE EDMOND MICHELET, 19240 VARETZ","0555842637","jeanmarcmaury@orange.fr","8187096440","81870964400012","2",236578,19,"86"
"CORREZE VERANDA","https://www.qualibat.com/resultat-de-la-recherche/correze-veranda-144306","5 RUE HENRI BESSEMER, 19360 MALEMORT SUR CORREZE","0555744771","correzeveranda@orange.fr","5077263210","50772632100023","2",673390,19,"86"
