"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"E I 2 T -  ETANCHEITE ISOLATION TOITURE TERRASSE","https://www.qualibat.com/resultat-de-la-recherche/e-i-2-t---etancheite-isolation-toiture-terrasse-165482","8 AV D AUVERGNE, 93220 GAGNY","0967640043","contact@ei2t.fr","8227845340","82278453400015","5",430686,93,"32"
"DESCHAMPS","https://www.qualibat.com/resultat-de-la-recherche/deschamps-41782","16 RUE LEOPOLD RECHOSSIERE B.P. 175, 93300 AUBERVILLIERS","0148111010","jkorjen@sa-deschamps.com","3435442270","34354422700022","147",25630000,93,"32"
"AXE ETANCHEITE","https://www.qualibat.com/resultat-de-la-recherche/axe-etancheite-67879","132 AVENUE JEAN JAURES, 93110 ROSNY SOUS BOIS","0148940404","axe@axe-etancheite.fr","3913883370","39138833700035","24",7920000,93,"32"
"UNION TECHNIQUE DU BATIMENT","https://www.qualibat.com/resultat-de-la-recherche/union-technique-du-batiment-41395","59 AVENUE GASTON ROUSSEL, 93230 ROMAINVILLE","0149917777","marketing@utb.fr","5720641450","57206414500145","1091",126850000,93,"32"
"PEINTECO SAS","https://www.qualibat.com/resultat-de-la-recherche/peinteco-sas-43386","87 TER RUE CARTIER BRESSON, 93500 PANTIN","0141505180","peinteco@peinteco.com","5620564990","56205649900055","23",8970000,93,"32"
"ETABLISSEMENTS MEIRELES","https://www.qualibat.com/resultat-de-la-recherche/etablissements-meireles-87381","12 T ALLEE DE LA LIMITE, 93390 CLICHY SOUS BOIS","0180623131","sarlmeireles@hotmail.fr","4133542830","41335428300058","39",3640000,93,"32"
"EAU&CO","https://www.qualibat.com/resultat-de-la-recherche/eau-co-132957","5 RUE SIR ALEXANDER FLEMING, 93360 NEUILLY PLAISANCE","0156630160","assistante.eau&co@faure-sas.fr","7992072040","79920720400022","19",2080000,93,"32"
"ENVELIA","https://www.qualibat.com/resultat-de-la-recherche/envelia-42093","3 AVENUE JULES VERCRUYSSE, 93170 BAGNOLET","0149930812","info@envelia.fr","7320576580","73205765800021","11",13760000,93,"32"
"EIF","https://www.qualibat.com/resultat-de-la-recherche/eif-41385","145 AVENUE PAUL VAILLANT COUTURIER, 93150 LE BLANC MESNIL","0148686610","e.i.f@wanadoo.fr","4177331020","41773310200020","18",2800000,93,"32"
"AB ETANCHE","https://www.qualibat.com/resultat-de-la-recherche/ab-etanche-150238","38 RUE PAUL LAFARGUE, 93160 NOISY LE GRAND","0141674809","contact@ab-etanche.fr","8128044170","81280441700028","9",1180000,93,"32"
"MBG BAT","https://www.qualibat.com/resultat-de-la-recherche/mbg-bat-147204","72 AVENUE DES GERANIUMS, 93370 MONTFERMEIL","0980840543","ckar@mbgbat.fr","8008310590","80083105900020","6",906848,93,"32"
"EPF","https://www.qualibat.com/resultat-de-la-recherche/epf-103757","149 AVENUE DU PRESIDENT WILSON, 93320 LES PAVILLONS SOUS BOIS","0614540457","contact.epf@orange.fr","7903927810","79039278100031","10",1300000,93,"32"
"FGE-IDF","https://www.qualibat.com/resultat-de-la-recherche/fge-idf-45036","22 RUE DES MARES, 93230 ROMAINVILLE","0170320100","info@fge-idf.fr","4211105600","42111056000040","10",3230000,93,"32"
"A L ABRI","https://www.qualibat.com/resultat-de-la-recherche/a-l-abri-85509","31 RUE DES ROCHES, 93100 MONTREUIL","0148575498","travaux.alabri@orange.fr","5110018930","51100189300011","11",4840000,93,"32"
"SOCIETE ETANCHEITE NABAIS","https://www.qualibat.com/resultat-de-la-recherche/societe-etancheite-nabais-41918","019 RUE GAMBETTA, 93240 STAINS","0148265706","nabais.com@wanadoo.fr","9984170180","99841701800038","10",2060000,93,"32"
"FRANCE BATEC","https://www.qualibat.com/resultat-de-la-recherche/france-batec-150947","73 RUE DE LA PLAINE, 93160 NOISY LE GRAND","0158844650","contact@francebatec.fr","4997982390","49979823900038","13",2000000,93,"32"
"MB ETANCHEITE SERVICES","https://www.qualibat.com/resultat-de-la-recherche/mb-etancheite-services-87468","1 AVENUE AMPERE, 93470 COUBRON","0623511308","mbetancheite@hotmail.fr","5126476370","51264763700010","4",338206,93,"32"
