"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"GUERIN SAS","https://www.qualibat.com/resultat-de-la-recherche/guerin-sas-33485","IMMEUBLE LE POLYGONE 1505 RD 906, 71570 LA CHAPELLE DE GUINCHAY","0385367031","contact@guerin-sas.com","3490585940","34905859400046","20",3420000,71,"53"
"CLAUZEL SARL","https://www.qualibat.com/resultat-de-la-recherche/clauzel-sarl-118437","RUE GOTHARD, 71800 LA CLAYETTE","0385706804","clauzelsarl@orange.fr","4330589970","43305899700019","2",271164,71,"53"
"MARCHAND S.A.T.","https://www.qualibat.com/resultat-de-la-recherche/marchand-s-a-t--33416","45 RUE ANTOINE RENARD BP 91, 71602 PARAY LE MONIAL CEDEX","0385813051","marchand-chauffage.com@wanadoo.fr","7960201050","79602010500014","9",802133,71,"53"
"E2CA","https://www.qualibat.com/resultat-de-la-recherche/e2ca-177955","12 RUE PHILIPPE FLATOT, 71380 ST MARCEL","0681101748","e2ca71@orange.fr","4413980470","44139804700031","5",551700,71,"53"
"COLAS OLIVIER EURL","https://www.qualibat.com/resultat-de-la-recherche/colas-olivier-eurl-33802","1240 ROUTE DE LOUHANS, 71470 MONTPONT EN BRESSE","0385729177","eurl.colas@orange.fr","4939103010","49391030100016","8",797195,71,"53"
"LACLERGERIE BRESSE CHAUF.SANIT.ZING.SARL","https://www.qualibat.com/resultat-de-la-recherche/laclergerie-bresse-chauf-sanit-zing-sarl-34333","12 ROUTE DE SORNAY, 71500 LOUHANS","0385750241","laclergerie@wanadoo.fr","3792059170","37920591700014","20",3090000,71,"53"
"BOUILLOT SAS","https://www.qualibat.com/resultat-de-la-recherche/bouillot-sas-79049","ZI SAINTE ELISABETH, 71300 MONTCEAU LES MINES","0385572148","entreprise.bouillot@orange.fr","4340791740","43407917400026","9",1210000,71,"53"
"PUGEAUT (ENTREPRISE)","https://www.qualibat.com/resultat-de-la-recherche/pugeaut-entreprise--33549","9 IMPASSE DE LA TRANCHEE, 71100 CHALON SUR SAONE","0385483270","pugeaut.alain@orange.fr","7258205420","72582054200027","8",697063,71,"53"
"EN'GO BOURGOGNE","https://www.qualibat.com/resultat-de-la-recherche/en-go-bourgogne-69988","ROUTE NATIONALE 6 LA MOUGE, 71260 LA SALLE","0385279700","engobourgogne@groupe-engo.com","3155358640","31553586400062","42",4680000,71,"53"
"DIDIER MORIN RENOVATION SERVICES","https://www.qualibat.com/resultat-de-la-recherche/didier-morin-renovation-services-130893","LD LAYE, 71170 CHAUFFAILLES","0685778760","dm.renovation@orange.fr","5192451870","51924518700017","1",107729,71,"53"
"SANI CONFORT","https://www.qualibat.com/resultat-de-la-recherche/sani-confort-148056","73 RUE BARBES, 71300 MONTCEAU LES MINES","0385587493","sani71@laposte.net","8073945150","80739451500025","11",1220000,71,"53"
"ROTAT CHARCOSSET SAS","https://www.qualibat.com/resultat-de-la-recherche/rotat-charcosset-sas-34273","ZONE INDUSTRIELLE PRE DES TANNERIES, 71800 LA CLAYETTE","0385282267","rotat-charcosset@orange.fr","4395612260","43956122600028","4",871184,71,"53"
"BDO ENERGIES","https://www.qualibat.com/resultat-de-la-recherche/bdo-energies-34012","ZONE INDUSTRIELLE LES MURIERS 3 RUE DE LA BROSSE VIROT, 71160 DIGOIN","0385812072","contact@bdo-energies.fr","4230168230","42301682300050","6",330000,71,"53"
"MOREAU (SARL DES ETS)","https://www.qualibat.com/resultat-de-la-recherche/moreau-sarl-des-ets--33463","26 RUE ST MARTIN DES CHAMPS, 71100 CHALON SUR SAONE","0385462452","sarl.ets.moreau@wanadoo.fr","4285734890","42857348900013","19",2450000,71,"53"
"FRED VAISON ISOLATION FACADES","https://www.qualibat.com/resultat-de-la-recherche/fred-vaison-isolation-facades-187051","40 RTE DU MESVRIN, 71200 LE CREUSOT","0618770797","fredvaison@outlook.fr","3976871460","39768714600043","2",1,71,"53"
"CHAPUIS SARL (SOCIETE NOUVELLE)","https://www.qualibat.com/resultat-de-la-recherche/chapuis-sarl-societe-nouvelle--34405","87 RUE ALBERT EINSTEIN, 71000 MACON","0385384894","francoise.guerin@veolia.com","3843715480","38437154800031","30",2220000,71,"53"
"ESPACE CHAUFFAGE SANITAIRE","https://www.qualibat.com/resultat-de-la-recherche/espace-chauffage-sanitaire-120804","11 RUE DES BUISSONS- BP 131, 71210 TORCY","0385552994","ecs.kessiri@gmail.com","4015698270","40156982700017","2",540800,71,"53"
"RIGAUDIER SAS","https://www.qualibat.com/resultat-de-la-recherche/rigaudier-sas-33859","1476 ROUTE DE DAVAYE, 71850 CHARNAY LES MACON","0385343155","contact@rigaudier.fr","3940818630","39408186300018","37",3340000,71,"53"
"RIVOLLIER JEAN FRANCOIS EURL","https://www.qualibat.com/resultat-de-la-recherche/rivollier-jean-francois-eurl-149922","75 GRANDE RUE, 71340 IGUERANDE","0385840677","contact@rivollier-jf.fr","8137438200","81374382000017","12",1120000,71,"53"
"CHARTIER ROMAIN","https://www.qualibat.com/resultat-de-la-recherche/chartier-romain-141045","TALLEGES, 71520 TRAMAYES","0624960115","romchartier@aol.com","5144533560","51445335600016","4",406592,71,"53"
"A2M BATIMENT","https://www.qualibat.com/resultat-de-la-recherche/a2m-batiment-143603","209 RUE DES BURNAYS, 71680 CRECHES SUR SAONE","0345301318","a2mplomberie@hotmail.fr","5002121390","50021213900025","1",117368,71,"53"
"JOURNET SAS","https://www.qualibat.com/resultat-de-la-recherche/journet-sas-33376","ZONE ARTISANALE DES BRUYÈRES, 71130 NEUVY GRANDCHAMP","0385842209","contact@journet-energies.fr","3271254640","32712546400021","11",1280000,71,"53"
"QUESADA SARL","https://www.qualibat.com/resultat-de-la-recherche/quesada-sarl-34470","170 RUE DES BRUY_RES ZONE ARTISANALE, 71200 LE CREUSOT","0385558082","quesadasarl@orange.fr","3910920200","39109202000034","6",1010000,71,"53"
"NEUZILLET MARC SARL","https://www.qualibat.com/resultat-de-la-recherche/neuzillet-marc-sarl-33831","CHEMIN DE LA COTE, 71530 VIREY LE GRAND","0385457049","marc.neuzillet@free.fr","3475698240","34756982400019","4",319773,71,"53"
"COMALEC SAS","https://www.qualibat.com/resultat-de-la-recherche/comalec-sas-82889","3 RUE FERREE, 71530 CRISSEY","0385460906","comalec@comalec.fr","7273200200","72732002000033","45",7010000,71,"53"
"ARNOUD & ASSOCIES","https://www.qualibat.com/resultat-de-la-recherche/arnoud-associes-83927","20 RUE DU 8 MAI, 71130 GUEUGNON","0385854749","arnoud.associes@orange.fr","5016168170","50161681700018","7",650654,71,"53"
